gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
OAZ2,3755.272477192591,0.05387192459134683,0.12311746491532373,0.2233920408721087,0.7587161808227356
LINC00539,70.76534793062747,-0.05078509820906283,0.12262436249681756,0.22357908637846338,0.7591305847131116
ZNF280B,245.85862405668908,-0.04935986762260627,0.1224547338551075,0.2236009921990521,0.7591305847131116
AACSP1,263.9880024726261,-0.041358529598203166,0.12117838451679341,0.22374980933283908,0.7594881769074251
TNFSF13,339.23657125723236,0.05995849702837094,0.12302794464944213,0.2239301195170468,0.7599525082094258
SRGAP3,226.58711728310053,-0.057310707003805784,0.12297243561286186,0.2239856751318727,0.7599933612790023
UCN,86.00114005850365,0.046602065938529294,0.12212299609917816,0.22416776799804344,0.7603952901848453
MRPS12,2175.5202192955285,0.03379381452713926,0.11969300324153441,0.224191213305186,0.7603952901848453
MAMSTR,106.41240969143875,0.052139153334650024,0.12282950494637815,0.22426402335448142,0.7604945444393522
WASHC3,703.4967677421909,0.0567606734636575,0.12316202822977956,0.22435895976028836,0.7605135837510572
ANXA3,45.54015094825269,0.040681417818264044,0.12122070904749034,0.22438691728398363,0.7605135837510572
KLHDC4,2135.7703610939698,-0.0674945491459688,0.11956501512704042,0.2244002804093677,0.7605135837510572
LINC02987,578.8888510385418,-0.05329044430380939,0.12199895837671006,0.22451697221618885,0.7607216746046321
L3MBTL1,471.8779710829611,-0.04308264356917718,0.12145279821476734,0.22458979381310712,0.7607216746046321
TASOR2,4802.757584093038,-0.03768288470550856,0.12050585402392028,0.224729777426414,0.7607216746046321
CIB1,7648.40213182294,0.03919207878917504,0.12090860339712554,0.2247373883626241,0.7607216746046321
PEG13,21.45471912580305,-0.02128076800273227,0.11776730548310212,0.22483538341626325,0.7607216746046321
KLK1,2718.9599070754143,0.06800849548547239,0.12335397226987453,0.22483773599548196,0.7607216746046321
F2RL3,63.48682992807078,0.045435062552236456,0.12184741044618055,0.22485216143463566,0.7607216746046321
GCK,196.7044829963926,0.04138286176860707,0.12122596902218818,0.2248559755000286,0.7607216746046321
S100A11,3134.040241555624,0.04485561826595459,0.12184163700248969,0.2248648641780463,0.7607216746046321
COL11A1,37.519184891048305,0.020995651573403478,0.11775282094138656,0.22489727473566856,0.7607216746046321
SEPTIN9,2703.2027056363386,0.05252350911623336,0.12265009291094807,0.2250437133683659,0.7609730624750022
PANK2,1265.9612083163904,-0.07310956110514494,0.11751154249702077,0.22505874185085814,0.7609730624750022
TMEM222,1289.2221532866251,0.04487768282838572,0.12189184745237971,0.22525098088299933,0.7613845120860061
GINS2,2820.7620749690886,0.04527575908908256,0.12203298673174964,0.22526762333648612,0.7613845120860061
DYNC2LI1,440.7209904852352,0.06148608672563488,0.12388879931647809,0.22534064397820847,0.7614839408737292
CDC26,337.116412776401,0.06876552473485907,0.12097781380037913,0.22540564127012241,0.7615562234748341
MTFR1L,1714.1148828459336,0.06865973434797291,0.12414753410947788,0.2254680899250121,0.7616161835212869
WDR90,4266.40763637345,-0.0642038285002641,0.13045931026556756,0.22552668804774162,0.7616161835212869
MAPK11,2611.05405135645,0.0675625569493661,0.12049302246276328,0.22555422017705543,0.7616161835212869
YTHDF1,2889.81520222548,0.06989306342066602,0.11992002111666737,0.22562672782573384,0.7616770555394519
AMD1,25433.00070646915,-0.05615546900227527,0.12069571124674967,0.22565947579942305,0.7616770555394519
SLC44A1,3484.935591033904,0.0740072449895308,0.1161464132447419,0.226008295708659,0.7626051157002622
DZIP1,178.9036926993834,0.051649455460649335,0.1226428463959583,0.22602176356301865,0.7626051157002622
CCDC171,142.26957714394294,-0.04149358913350012,0.12131266053849528,0.22615761114050165,0.7628405474639156
ZNF490,206.2973718581824,0.0615859634523798,0.12272257826032858,0.22619151246191085,0.7628405474639156
KIAA2013,3653.928668808214,0.05076806906744345,0.12261133899257946,0.226222583332319,0.7628405474639156
CD27,82.64530960019336,-0.05378347964135316,0.12270689894422264,0.2263045967838417,0.7628418561640575
CCDC12,1460.041800411581,0.050025256135816924,0.12262171457834807,0.22631033307294904,0.7628418561640575
ECI1,6492.718788115776,0.03885251556873685,0.12074450969986075,0.22646617826187818,0.763123742285642
DCTN2,7927.315260631954,0.055547008412919374,0.12293143545601122,0.22651649556287204,0.763123742285642
SHISA4,105.27731401734621,0.0465645939004518,0.12199731013651571,0.22652505038987447,0.763123742285642
ZNF212,890.1154531961547,0.06598460581728478,0.12134512290441561,0.2266538459261284,0.7632659322614804
PCDH8,33.76241927470016,-0.024994102338995693,0.11829695195913345,0.22665466815781252,0.7632659322614804
PAIP2B,1663.6647262363724,-0.061568809248466035,0.12253106211347126,0.22677988325135956,0.763540366512771
TP53BP1,2369.6993619780073,-0.06791158714604383,0.11980047404829224,0.2268324341795327,0.7635566424859048
GLS2,128.44124674428,-0.057189382077494244,0.1227577438920543,0.22687908050683453,0.7635566424859048
GATA6-AS1,77.59879796665156,0.046187350018552106,0.12190654782413182,0.2269432280615902,0.7635566424859048
ACSS2,1923.87111639844,0.06709554304672778,0.12097354664633307,0.22695960439443036,0.7635566424859048
C2,31.31624980431525,-0.026282793754460913,0.11848679296837156,0.22702858418260377,0.7635577423762775
SMURF1,2766.2393435949975,-0.06583240075136353,0.11714058195430864,0.22704737495190158,0.7635577423762775
ATPAF1,7566.046282244679,0.11733252560273964,0.1565527017003853,0.22713428117907494,0.7635700577496088
TMEM67,462.4190634904069,-0.04722638733404496,0.12202741949584345,0.22718159155280987,0.7635700577496088
UFD1-AS1,119.99678734846158,-0.05559111940290504,0.12280430083320881,0.22726957900888695,0.7635700577496088
LINGO2,20.86625853460731,-0.023706413266515333,0.11809253283617946,0.22734040125743477,0.7635700577496088
PHB2,21725.81324851564,0.04571318525012673,0.12216673832686167,0.2273585173296765,0.7635700577496088
GPR107,4202.389985761986,-0.06230166331817435,0.12209764246376212,0.22742847077736783,0.7635700577496088
LSM10,901.3955771378663,0.03726689132431232,0.120529860160835,0.22744470199920266,0.7635700577496088
CCDC116,24.40297400167299,0.025883960535282604,0.11844274363038036,0.22744808608782732,0.7635700577496088
RPL15P18,19.301438087934226,0.02322237180341473,0.11803264049790001,0.22747639074817938,0.7635700577496088
GCC2,1618.2748739607096,-0.035426399604984136,0.12006844115265755,0.22749208562245218,0.7635700577496088
BORCS6,568.3512067804447,0.04216888126707903,0.12128551920203395,0.22753198468443453,0.7635700577496088
CENPF,5988.3275708615765,-0.035604145560428554,0.12043410192176952,0.22759184588184794,0.7636242068166365
TXNDC17,4664.021629697657,0.043069336395813194,0.12124766813527306,0.22776001585502947,0.7638705797792508
HHAT,284.2793558253629,0.05094521748985319,0.12249152852697663,0.22777219414729766,0.7638705797792508
ARSI,8.109142126430767,0.019171615283628915,0.11747441298984501,0.22780045072331118,0.7638705797792508
FOXL2,144.58795390490272,0.04324883531470919,0.12144370022500414,0.22784023420007543,0.7638705797792508
CADPS2,1861.7655393454932,-0.06925489288064933,0.11918419019165516,0.22801633258504564,0.7639394621025707
CIAO2A,3810.9768115621678,0.06032122954150344,0.12280269393819518,0.228039135388388,0.7639394621025707
HVCN1,30.183879461872053,-0.03366446019718778,0.11971362522265214,0.2280843200297563,0.7639394621025707
MYO19,3972.92162225679,-0.07107032146421696,0.11050767883884957,0.2281076782967127,0.7639394621025707
FA2H,176.94871136368442,-0.05922719071447551,0.12254291049205739,0.2281747274193927,0.7639394621025707
COX7A2,13303.135580033597,0.03553818179648562,0.12012320128800034,0.2283761440315053,0.7639394621025707
IST1,4200.072842145428,0.06833831104507103,0.12016488664336224,0.22841787294895377,0.7639394621025707
KRT18P34,18.86170417035073,-0.026650692391583294,0.11852379621268183,0.22842762420028753,0.7639394621025707
SLC25A20,781.4811266793031,0.04560908428351966,0.1219737043699423,0.22842891902126292,0.7639394621025707
POLR1C,1525.0524852506271,0.05303632104868244,0.12270027722789884,0.22843797413480593,0.7639394621025707
TSPYL2,3381.1444611330007,-0.06340676057470138,0.12316119445807915,0.2284630560381415,0.7639394621025707
SEC31A,2828.515513967894,-0.07557314830886841,0.11468528510005715,0.22847411831729875,0.7639394621025707
SORBS1,554.688810458838,-0.054994330375350016,0.12247296239451451,0.22850534833036923,0.7639394621025707
P4HA2,667.3066201645518,0.06806745567273031,0.12032253329659642,0.22854564223234375,0.7639394621025707
PLXDC1,222.48664277349118,-0.05060163310578545,0.12230028834803097,0.22856140703460837,0.7639394621025707
PPM1N,428.12833766241187,0.04857476530123142,0.12224681260521468,0.22859820122005908,0.7639394621025707
ZSCAN10,86.40148828623937,0.03272275214575187,0.1195808312760635,0.22865306732081922,0.7639394621025707
GTF2IRD1,774.3201995365312,0.05310537359755995,0.12264522938449737,0.228664023399497,0.7639394621025707
HECA,1477.155741847538,-0.0559195288472618,0.1224091646855014,0.22881024820312473,0.7639394621025707
KIAA1958,826.2079209809584,-0.05749550552070262,0.12320202786573907,0.2288668380269648,0.7639394621025707
NDUFB6,4170.807865470495,0.047297323955419225,0.12051425105219901,0.2289006304847959,0.7639394621025707
UCK1,2261.8156082290066,0.045981025536687065,0.12184692789919288,0.22901668479511667,0.7639394621025707
USF1,4071.837661333057,0.04264877359040742,0.12133527766317201,0.2290817653014541,0.7639394621025707
DYNC2H1,1048.952645819815,-0.045562512384343466,0.12179002871561487,0.2291259840105341,0.7639394621025707
VPS33B,176.34653003094817,0.05792820899591503,0.12264663933627841,0.22913192849155176,0.7639394621025707
C16orf95-DT,83.62439296217217,0.031993190623446834,0.11943575711767311,0.22913504655673653,0.7639394621025707
FKBP3,4691.440840523628,0.058797942365643154,0.12301334326124584,0.2291895785167001,0.7639394621025707
SYPL1P2,81.54008177132211,0.04584609731270582,0.12171134583469535,0.22922345901590338,0.7639394621025707
RPL39P16,27.82067496333401,-0.025043002428128385,0.11827918471772285,0.22924943660596786,0.7639394621025707
DNASE2,1982.0353669768547,0.049193416406293836,0.12232679369767444,0.22933354882916057,0.7639394621025707
COPE,4758.384463519092,0.03989577040624945,0.12131489115710581,0.22937374389021786,0.7639394621025707
CLBA1,837.474710145765,-0.06689446895939158,0.12028753703583578,0.22947588766919055,0.7639394621025707
NCOR2,7427.573163928719,-0.04450717806223508,0.11791718679587423,0.22948592513381727,0.7639394621025707
DBNDD2,53.875248745739036,0.029118313287201523,0.11894176557136643,0.22966440573430216,0.7639394621025707
TIRAP,2982.3998360618875,-0.07076280930069338,0.11860105293145176,0.2296979808935676,0.7639394621025707
PNPLA3,11.318970544564872,-0.020719023344355818,0.11765893086909707,0.22976237799185148,0.7639394621025707
MORN2,447.641021584861,0.04492033055557812,0.1216488232747286,0.22977331946317733,0.7639394621025707
PSMC1,105.11134947044178,-0.0514670395641059,0.12231108158348586,0.22983283076173058,0.7639394621025707
LMO4,2479.4700975419146,0.07229229238814097,0.11667577017586565,0.22984011204021415,0.7639394621025707
RNU7-57P,12.598770478831959,-0.02214193270173682,0.11784247854566157,0.22986644618563784,0.7639394621025707
UBE2E2,785.1266040517957,0.062149136199953166,0.12198737518231938,0.22991276565454363,0.7639394621025707
TET1,185.4241416780237,-0.031382223191990875,0.11928912239120208,0.22998610839905503,0.7639394621025707
NOL11,2663.668434252537,0.07170987884544279,0.11803684016279208,0.22999802787722978,0.7639394621025707
LSMEM1,39.76971874459072,-0.03864411346680268,0.12053239737340965,0.23005998420556492,0.7639394621025707
CHLSN,3613.888776159381,0.038485260076940885,0.12046156741089124,0.23007371166505522,0.7639394621025707
MIR3124,14.90449026983615,-0.026158315616586915,0.11843237274293428,0.2301055372120176,0.7639394621025707
OR1F1,88.49708113237153,0.04815490820072193,0.12202304662920893,0.23012248412333117,0.7639394621025707
NDUFV1,7318.339402862082,0.05182581758630523,0.12271036870795969,0.2301735944805562,0.7639394621025707
B3GAT3,1800.1211210272988,0.046900568672875086,0.12181306546334025,0.2301776619565888,0.7639394621025707
LURAP1L,49.42260284287821,0.045409940866417794,0.1216787844349941,0.23018358859156848,0.7639394621025707
NAF1,948.0345544714661,-0.06384346549910204,0.12139516220103093,0.23020474789270173,0.7639394621025707
GPR108,1840.5899585478007,0.051010259912080816,0.12277390543270338,0.23021338691499663,0.7639394621025707
EIF3D,9012.313187376698,0.05475747732713288,0.12261398304135188,0.2302701489377994,0.7639394621025707
ANAPC10,240.37623921395485,0.0468956399215248,0.12188729112996795,0.23029836076259455,0.7639394621025707
KIF1B,3247.5954583436414,-0.061614635879139505,0.12085233502500366,0.23038704135522445,0.7639394621025707
PBX2,1890.8302945956275,0.07208855553380711,0.11691849745956753,0.2304098222688609,0.7639394621025707
NTN3,54.54796711726499,-0.03780036202803325,0.12038604909344688,0.2304465247253571,0.7639394621025707
SLC43A1,1807.0608911827483,-0.042898743334284034,0.12119983004631338,0.23048515816150308,0.7639394621025707
FOXO6,136.36839008475124,0.04616267137221058,0.12180184697108108,0.23052347846728238,0.7639394621025707
C16orf95,76.84134759261342,-0.036802193107656915,0.12019868682226814,0.23065702086974862,0.7639394621025707
VWA1,230.99641422444583,0.037826907821753214,0.1204419085088032,0.23072990895166487,0.7639394621025707
TMPRSS5,47.76747612678127,-0.026850550195020258,0.11853641856364512,0.2307796379981534,0.7639394621025707
LRPPRC,5611.389536567486,-0.05738155514030017,0.12020164944932801,0.23079890618764726,0.7639394621025707
TXNDC5,539.9377907033785,-0.037261016370325833,0.11994181212733518,0.23082066307451496,0.7639394621025707
KBTBD8,272.2424455119329,-0.06251046067740337,0.12163557627052675,0.23082321307553155,0.7639394621025707
SLC35F4,12.680457428494828,-0.017110166874356087,0.11721845811325884,0.2308252172759963,0.7639394621025707
CREBBP,2969.854906855857,-0.05990013952325096,0.12045349586547316,0.230911290743868,0.7639394621025707
MRPL12,992.4990513742356,0.03526810788032374,0.12002868758970235,0.2309160057075888,0.7639394621025707
PDHA1,4085.6048434257987,0.07030450363075695,0.11495221166258683,0.23092418799669537,0.7639394621025707
XRCC2,2624.7212423122514,-0.036524464414193956,0.12013464970457137,0.23100143731042336,0.7639394621025707
PTCD2,1514.9283485741273,-0.06485908573925404,0.11999434093518406,0.23101385982031583,0.7639394621025707
SLITRK5,1058.3296139540528,-0.057549623351648066,0.12231370931817104,0.23106825354445182,0.7639394621025707
PTPN6,1346.5422663053325,0.0674651791191406,0.1205589362654563,0.23107873236747561,0.7639394621025707
PPP1R2,1230.515147087359,0.06617960256548461,0.12068267716412805,0.23128576728847847,0.7639394621025707
EI24,7847.742273925843,0.046327998954646045,0.12024295756646207,0.2313317298639301,0.7639394621025707
ACVR1,217.22581529711056,0.05620057219664971,0.12245163439483832,0.23133217526620214,0.7639394621025707
UQCRFS1,3948.484910479701,0.044939948548595315,0.1215186322114281,0.23142025821519613,0.7639394621025707
HDAC1,17054.257387234036,0.0617976192260326,0.12401815647867079,0.231425557131193,0.7639394621025707
H1-5,32.68746977644072,-0.03035630833102201,0.11908328882844378,0.23145610509810313,0.7639394621025707
GAS2,768.0183655940222,0.044625442667254184,0.12154457120841952,0.23147483298005342,0.7639394621025707
FBXL20,1724.4700882532634,-0.06631491534168935,0.12059456606796568,0.2314827259994174,0.7639394621025707
FBXO7,2751.5374935743152,0.06697280043096536,0.1217519640602075,0.2314869572089775,0.7639394621025707
LHX8,120.06257140710015,-0.056020766308001575,0.12235317383454937,0.2314955388245228,0.7639394621025707
ZCCHC18,32.23570203416513,0.03434032926647995,0.11975732028408381,0.23153524810518245,0.7639394621025707
KLHL32,41.70393170600047,0.04238412125385143,0.12115132199560616,0.2316556654881148,0.7640059219478568
SOWAHC,79.73536453791802,0.045743496814340964,0.12192639985606214,0.2316930105962038,0.7640059219478568
TMEM223,1024.4935228340976,0.04009781926601557,0.12056277078885438,0.23174339012806894,0.7640059219478568
DHX33,2796.3167057407895,-0.07045865564498976,0.1174079234538491,0.23176130245548168,0.7640059219478568
PLEKHG4,637.2403076086456,0.06926608828245952,0.11882911208462776,0.2317741281768063,0.7640059219478568
ACTR1A,4896.583937841368,0.049886196332863744,0.12216478611524703,0.23187517121407472,0.7640327144149471
XIAPP3,10.998861827229947,-0.017555216323221802,0.11726249100574523,0.2318760507189863,0.7640327144149471
KRABD2,820.1846047940588,-0.06081758160319038,0.1218583821866835,0.23192738745550814,0.7640327144149471
DIRAS1,1225.40151289251,0.04531091868498298,0.12158953698904047,0.23197960025424746,0.7640327144149471
FHIP2A,947.922408768623,-0.05265280384981535,0.12230053977210752,0.2320010011762749,0.7640327144149471
COL4A6,159.7548964866316,-0.04756917752271194,0.12200650219835098,0.23222625581482279,0.7643886921997954
EXOSC4,47.8880606467035,0.037720612485942655,0.12029553639148768,0.2322643994971061,0.7643886921997954
RBP4,10.990292642337204,0.02422535441708015,0.11813824430259558,0.2322787860183202,0.7643886921997954
TSR2,2720.468212065324,0.04941877760457499,0.12212384319368369,0.23228417255521727,0.7643886921997954
GNRH1,241.49333384837792,-0.03501051328116209,0.11981804078784175,0.2323815902968489,0.7645652021371834
GTF2IRD2B,396.23332184757396,0.06096315601074742,0.1217758654366624,0.23248754509646727,0.7646666627400507
LIG3,2655.8869779637907,-0.06625670855023785,0.11994884802605549,0.2324999988060965,0.7646666627400507
LOC105377225,17.192474750417002,-0.01624203262404597,0.11712258976478479,0.23261050035258093,0.7646669201691202
UBR3,1490.2830653835633,-0.041027635612090725,0.12083282029668195,0.2326705383529825,0.7646669201691202
AGPAT1,1574.3229125355022,0.05463406518649186,0.12259338436639367,0.2329968449418742,0.7646669201691202
SLC71A1,114.26293806197674,-0.04394275717810041,0.12133315640791949,0.23305286971588182,0.7646669201691202
BCL2L2,2821.7823082905593,-0.07296366754236504,0.11829184034466578,0.23314101827696637,0.7646669201691202
PGM3,2763.5443386828642,-0.053707676197743165,0.1224380660602945,0.23314620320270701,0.7646669201691202
RAD54B,404.0119470941884,-0.05448560145698867,0.12228209576007786,0.2331906112253483,0.7646669201691202
PEF1,2154.4740536668583,0.04509716267656124,0.12162612294911974,0.23321888358301918,0.7646669201691202
CKAP2-DT,114.49910870230072,0.03789423373646856,0.12036894163305413,0.2332631000372087,0.7646669201691202
RHBDD2,3588.1620422838782,0.04285324111596685,0.12086088735009845,0.2333154981937601,0.7646669201691202
GRB10,627.7578182647061,0.05830024069951782,0.12222194938082459,0.23332321973651515,0.7646669201691202
LOC441711,44.64217324031213,-0.03145193633645484,0.11925264999396887,0.23332872635947147,0.7646669201691202
HIGD1A,2730.904640485014,0.056009016452983784,0.12453191385356137,0.23337045099565776,0.7646669201691202
STK38,1297.7471196645558,0.07088641807724973,0.11742939301340727,0.2335026804631555,0.7646669201691202
SDF2,1262.3355785079723,0.054210931554675955,0.1224126192436462,0.23353301819401132,0.7646669201691202
SLC25A6,155.7115957042233,0.03938500977657565,0.1206202436512612,0.23361584061181048,0.7646669201691202
PLPPR1,76.01488045962758,0.046203890622379826,0.1215614383437826,0.2337192478598402,0.7646669201691202
TAFA4,20.68374696575599,-0.021874380292496474,0.1177814870949799,0.2338032954316965,0.7646669201691202
ANAPC11,5797.523754265175,0.03399589806930209,0.11951114062084982,0.23383798264580327,0.7646669201691202
HAUS6P1,324.02506303627683,-0.034675800389562673,0.11977092215864085,0.23392606546776804,0.7646669201691202
HLCS,1718.0063110097224,-0.06537011701305272,0.12007673589016689,0.23395747552903204,0.7646669201691202
DCK,1920.8866194586872,-0.05994539084239325,0.12189225046628147,0.23404613836954918,0.7646669201691202
SCOC,3987.6459700478117,0.05249475019111185,0.12250213949387007,0.2340550472989152,0.7646669201691202
ARLN,6722.464070784484,0.06491772718211715,0.12259137878774845,0.23405982917171753,0.7646669201691202
OSCAR,26.947231586809206,-0.022355635026215487,0.11784907510971492,0.23406015606098995,0.7646669201691202
BLOC1S2,1819.6005330853893,0.06762489844123305,0.12355489778232116,0.2340623437099766,0.7646669201691202
ADSS1,2147.4765212798125,0.05707569880200851,0.12293279525178459,0.23409737266841796,0.7646669201691202
CEP350,1924.9954298331313,-0.03546168836738078,0.11984169997067833,0.23414722022240636,0.7646669201691202
SYTL3,27.366682507095618,-0.035386431162921915,0.11987445084304213,0.2342031116852168,0.7646669201691202
VMA12,517.8982123741167,0.04361892756347502,0.12127622805559561,0.23425528863997966,0.7646669201691202
KLHL23,738.9279773365373,0.04827493887113111,0.1218832607278257,0.2342919435728378,0.7646669201691202
PIGH,1048.1282272974058,0.06446797040488966,0.12077858461927918,0.23431439683882016,0.7646669201691202
SLC16A10,410.68788229129353,-0.058131310341957176,0.12272414661179483,0.23433023535588762,0.7646669201691202
GTF2IP14,16.408882678479124,-0.015456690011431412,0.11703360639261444,0.23442325522429536,0.7646669201691202
ZFP69B,288.3842781400345,-0.03976135948400778,0.12037534842369928,0.23443980915636284,0.7646669201691202
RNU6-1178P,21.894889704823086,-0.025832701060814083,0.11833476325954578,0.23446283945840396,0.7646669201691202
KCNQ3,23.841844164957795,-0.027759851125026727,0.11863218781657403,0.23446857575550506,0.7646669201691202
RPS2P50,19.841919442321068,-0.020188087607068955,0.11756831390278775,0.23449966022025076,0.7646669201691202
EHBP1,2254.661895148442,-0.050244392112193684,0.12188178468782929,0.23450573357067495,0.7646669201691202
PSMB1,7494.1338064840575,0.05021477324551039,0.12221229238917278,0.2345278875078496,0.7646669201691202
FBLL1,375.50046670104865,0.035988104871425584,0.12001212862838738,0.23460282053394269,0.7646669201691202
SYNGR2,10414.287758718803,0.04007766719945174,0.12083171871496302,0.23462648221199928,0.7646669201691202
CDCA5,3135.6748029451633,0.049070319901163825,0.12181881447727509,0.23462938090593588,0.7646669201691202
HOXC9,220.0523900590757,-0.05467799041207663,0.12179827225087715,0.23467597404762403,0.7646669201691202
SLC5A1,56.929587447357335,-0.03661578201800999,0.12007330575197915,0.2347145374260548,0.7646669201691202
NSUN2,4911.35389118165,-0.07462526008590813,0.11199425992477872,0.23476294216890817,0.7646669201691202
SLC66A2,1056.1703820325995,0.047888427784272006,0.12190225503354436,0.23477966956112628,0.7646669201691202
MRPL55,1644.1671942757123,0.03664657611379842,0.12016617396427257,0.23478177788675234,0.7646669201691202
ORAI2,760.380219168956,0.05346571053760878,0.12221197946528102,0.2347967572754565,0.7646669201691202
GSE1,8907.6314243501,-0.06777516099127084,0.12093637037719024,0.23483024403324945,0.7646669201691202
FBRSL1,5898.252612042924,-0.0502717335358117,0.1209741814106721,0.23484856685600988,0.7646669201691202
RNF26,1978.772263478376,0.04122874184627369,0.12088616739286212,0.23490319108667776,0.7646669201691202
LOC101927018,15.131222223308372,-0.01569141681004285,0.1170524076489671,0.23493454218486773,0.7646669201691202
PABPC1L,1721.0175567720971,-0.039406858295005495,0.12041816348652071,0.2349402847073604,0.7646669201691202
ZFAND5,4668.8550751359335,0.07076932807681792,0.11686690752629002,0.23501631950774668,0.7646669201691202
HSPA8,43333.020805338994,-0.04181461191283366,0.12002576526840497,0.23503055388847027,0.7646669201691202
RPL4P3,67.39916436014573,0.02995185173879873,0.11900751936941294,0.2350461556960149,0.7646669201691202
THBS4,33.05355141774404,-0.03195273838924291,0.11928814772290318,0.23506942892376126,0.7646669201691202
C1orf53,121.1963612988681,0.030580652907988615,0.11914187995802335,0.2350894413393699,0.7646669201691202
RIBC2,755.2895255266368,0.06872945681508498,0.11864173145715384,0.23517220879515607,0.7646669201691202
FBXL15,1544.7520108426233,0.03819349032003124,0.12034104218613784,0.23517608298880718,0.7646669201691202
ITFG2,1220.6120190986321,-0.07054192562754698,0.11595189949902664,0.23526444472839933,0.7646669201691202
RNU6-126P,17.880495315136177,-0.019564820903617396,0.11747575743730915,0.23535230451492264,0.7646669201691202
COBLL1,953.6209909839431,-0.038501803782674364,0.12030758650047237,0.23535411212249643,0.7646669201691202
R3HDM4,2172.768216298439,0.04997649865545896,0.12228860150412489,0.2353876580950499,0.7646669201691202
ARID3C,54.93361457484925,-0.03804750447082346,0.12028730062030574,0.23548289486102103,0.7646669201691202
MAP2K5,574.7172288790892,0.049832529087761125,0.12200897234779146,0.23552613812238823,0.7646669201691202
INSYN1,13.514001228329022,0.017784939039575183,0.11728016016339832,0.23555057114479666,0.7646669201691202
CCDC92,1029.2562091041643,0.06891672050241968,0.11812114389678692,0.2355779457572427,0.7646669201691202
RAB6B,482.3124351735367,0.07163654808611711,0.12191283729323185,0.2356029105991942,0.7646669201691202
TGFBRAP1,1302.7303809240036,-0.06575331792580567,0.12026786965763556,0.2356088351712114,0.7646669201691202
RRBP1,8222.490927323885,-0.0458149980835939,0.11807969623135134,0.23592122081689068,0.7655384987636898
NME1-NME2,78.12909876925583,0.02628106717208885,0.11842467110970205,0.2360571602523338,0.7658373112849263
AP2M1,10502.338480309398,0.047749015557717406,0.12174031871693525,0.23624755874037576,0.7661793668818435
MEX3B,287.49159872038723,-0.053468322439736225,0.12195566736730606,0.23625860948691513,0.7661793668818435
KANK1,1389.0084610114284,-0.06517579181366755,0.12034786332541851,0.23629420923188324,0.7661793668818435
EMC7,3184.9114081511766,0.04161725504267258,0.12078515945137196,0.23636655417163993,0.7662370140826286
RNF181,1721.3714569821805,0.03416725151594516,0.11971650874281294,0.23639973842631715,0.7662370140826286
RNF32,226.05457895458588,-0.04944227023320373,0.1225395832231176,0.2364439179682285,0.7662380002592583
NECAB1,19.720761903147082,0.019290898746128916,0.11746369414276583,0.2364939416387141,0.7662579214802417
ENPP2,22.68572560052411,-0.021905772999880092,0.11776831064305783,0.23655894896523064,0.7662827069150442
ZNF714,2013.5883666612026,-0.05498188058895061,0.12107157293712585,0.23663414880899394,0.7662827069150442
SLC25A25,1222.0844572546832,-0.04533611247543514,0.12129672384400145,0.23665732041268184,0.7662827069150442
FKBP8,10078.967889807822,0.04167434491926297,0.1209254071109324,0.23672774262092222,0.7662827069150442
LINGO1,242.93382810703056,0.04482791761902015,0.12129301214637671,0.23676515886328336,0.7662827069150442
ZNF835,11.483816389055926,-0.020605382733069683,0.11759670193046959,0.2368065200901712,0.7662827069150442
DOP1B,602.5772596181488,-0.06515150159109276,0.11977095956253705,0.23683677345788676,0.7662827069150442
RPS4XP16,60.419272140333085,0.03156260750709972,0.11922171813336718,0.23691305283475023,0.7662827069150442
FAM3A,1709.2849843136703,0.04818737824698181,0.12180488537385888,0.23693757937252058,0.7662827069150442
GPHN,1534.8927072883837,-0.06254749932461456,0.1208074237514512,0.23694902534935144,0.7662827069150442
ZNF484,207.5920635987811,-0.023728249244074896,0.11802031196575702,0.2371133668589745,0.7662827069150442
WDR25,237.17921694164303,0.04306216401081426,0.12105355152843189,0.23715108764506213,0.7662827069150442
KIAA1671,2856.8917618362557,-0.06054626543145958,0.12122976354090238,0.23716458626739748,0.7662827069150442
CEP250,2933.4045061838806,-0.06642945072922382,0.12090710470123778,0.2372338195713146,0.7662827069150442
IL4R,32.42543727443691,0.026241350190275573,0.11839861354153133,0.23727755318102817,0.7662827069150442
ARHGEF39,1275.3393777548065,0.06484226510726873,0.11930944498808076,0.2373262626115239,0.7662827069150442
RASGRP4,11.794287643861514,-0.018312346733956004,0.11731587218389643,0.23735365369676031,0.7662827069150442
ITGA5,663.0890107460808,0.06553088473407682,0.12124518468820115,0.2374264803762574,0.7662827069150442
TSPAN3,6180.280633598332,0.062358871382755705,0.12081827701414787,0.23742716470331335,0.7662827069150442
RASSF8-AS1,67.1373528469,0.036757585380897274,0.12008204446605664,0.23750123357887942,0.7662827069150442
STYK1,1025.4887674986621,0.06467824569241358,0.12039777203388465,0.23751956519010584,0.7662827069150442
TBPL1,1234.0147795881956,0.06387066192010829,0.12033605402379957,0.23767345884460905,0.7662827069150442
YARS1,5046.847190191573,0.04882315341407295,0.12216112733113438,0.2377080693266596,0.7662827069150442
NUP133,4562.611429831795,-0.06524943252175552,0.11911206485418072,0.23771847152454245,0.7662827069150442
LAPTM4A,7767.872848398595,0.048915695354407346,0.12063035303960849,0.23777164038879195,0.7662827069150442
