gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
HLA-DMB,146.2452052377605,0.8292023099960314,0.31616585681587117,3.2031416133332857e-4,0.04174601875765112
LINC02449,221.60692066572574,-0.7022219604689779,0.26527824757107565,3.233049385004677e-4,0.041823684784979026
ABHD2,10530.632637084196,-0.7557572516076055,0.2886908806952084,3.349251292532395e-4,0.04300832689175422
POLR3GL,632.5582938540275,0.7057016120237511,0.2691435283389579,3.4768888105546185e-4,0.04432144977191668
STMND1,46.2257200349918,1.151508348814167,0.4500606350131187,3.539111029785841e-4,0.044467942102287814
LRRTM2,22.637583502547017,-1.6799050728906308,0.6618261155906289,3.563337472310065e-4,0.044467942102287814
DUOX2,29.23355075617958,-1.386087612602461,0.5457882015512421,3.5647686064591694e-4,0.044467942102287814
PPP2R2B,87.3824948423523,1.2125878703901145,0.47875871589607355,3.621246872155115e-4,0.04485209601086307
PPFIBP1,3675.5076365286272,-0.681542638186229,0.2631791812260722,3.7510853393415576e-4,0.04613306645511335
RPL34,13297.013779648129,0.8286421584865558,0.32455726145057084,3.8596811764064634e-4,0.04713669375158215
EFCAB12,238.6937537022424,-0.8221485194886469,0.3238380225007975,3.9265085643492686e-4,0.04761982331096918
MALT1,1524.9677511171385,-0.9451880649913496,0.37728630635958504,4.0049608617080077e-4,0.04823630102680596
PBOV1,26.006590223882075,-1.4486133859316606,0.5819273277979914,4.1646902447487486e-4,0.04981654139335078
UQCRB,11711.058089955979,0.6275915053145252,0.24357366535344635,4.2785455839061155e-4,0.050830285766895515
MIR7-3HG,50.51437281222521,1.0458473114194902,0.42191365371213374,4.429457625475209e-4,0.05226759998060746
MLYCD,370.2721833562757,-0.7695880554632044,0.30826528183271196,4.5133211183214585e-4,0.05261413545997978
MUC2,89.25667099629773,-0.09992859026987903,0.19162173618715928,4.5190794314000043e-4,0.05261413545997978
PRTG,307.77661615128017,-0.7755868202422924,0.31183829504596444,4.603706571941745e-4,0.053244457994960685
HCAR1,147.7678666687977,-0.7662481299866465,0.30759689734795503,4.6566224597817136e-4,0.05350214120896569
ASGR1,40.14785799496114,1.1691255234335254,0.48239585510999367,4.911267962870612e-4,0.055824470171125254
HLA-DQB1,56.63387471829275,1.2357365366411754,0.512805784541883,4.937362910740048e-4,0.055824470171125254
PEBP4,162.51491734998152,-1.231382079478365,0.5167228053766169,4.954645485870599e-4,0.055824470171125254
LNC-LBCS,108.16349996251012,-0.9482177012957772,0.391194628429138,4.993076518575292e-4,0.05589685148743519
MAOA,3133.7378697267372,-0.844516047282174,0.34813599087961106,5.09003842260532e-4,0.056619382810432675
PCSK7,1635.4792897504797,-0.516628582181512,0.202558322193443,5.157258959537284e-4,0.056911611025542555
SPATA31C2,199.61775545065598,-0.8838589861792088,0.3660553647162151,5.181485428917353e-4,0.056911611025542555
RPS15AP24,654.5601762108903,0.9107783299347939,0.3777141520288854,5.293822229474379e-4,0.05778206963471284
RPS4XP3,435.9023109239174,0.675631494873724,0.2743556512930271,5.35944184157523e-4,0.05813496417470175
RPS15AP12,309.3546658228831,0.8509519838724477,0.3528122874045956,5.404821679419837e-4,0.0582653122280173
PPIAP41,7.8515537190025,-0.05148405948725822,0.13354600054443247,5.5747842526654e-4,0.05972885410340401
SLC17A7,373.8996069305192,0.9840367206968436,0.4149171251263772,5.626069776745731e-4,0.05991078206163869
TRIB1,1593.4258991033892,0.5483076516957395,0.21930252130563543,5.671223116306866e-4,0.060025600304959466
RPLP2,31692.722001309037,0.9867524809126007,0.39189344163019785,5.736177035742926e-4,0.06016730544328816
KCNN2,784.8842057228134,-0.8319552655034677,0.35059806922278153,5.841240492386465e-4,0.06016730544328816
RPL14,13985.873866290955,0.7088318987311545,0.2925332353786295,5.847175546678925e-4,0.06016730544328816
MIR3936HG,349.7427117929015,-0.8740878419372777,0.3696084961410679,5.852785401734583e-4,0.06016730544328816
AKR1C1,278.77092196537734,1.0520980183062012,0.4484947168506565,5.856872380530798e-4,0.06016730544328816
KRT7,923.9489377328282,1.3119492300422952,0.5670895237177948,5.90028421815513e-4,0.06025880911453871
BAMBI,64.20294167721585,1.0543121853936601,0.44846278359628117,5.950488340128959e-4,0.060418214169774505
CX3CL1,620.9624759249849,0.6266649592657637,0.2586834160199907,6.229560287677715e-4,0.062458375509808976
WIF1,237.56012024990306,-0.8114615930003007,0.3450308197464786,6.23237056346827e-4,0.062458375509808976
PHF8,4056.725676765025,-0.5414587815343073,0.22039203713652722,6.258712616935737e-4,0.062458375509808976
