theme,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,collection,neglog10_padj,label
Insulin / Glucose,BURTON_ADIPOGENESIS_6,0.013060476996307,0.12008083188753343,0.3807304007227924,0.3414612340628057,1.3590479636341248,169,UQCRB;CMBL;BBLN;UQCR10;MRPL51;ATP5PO;APOE;TSPAN12;NDUFB3;CIB2;MGLL;NES;G0S2;UNC119;NDUFB9;NDUFC1;ACYP2;LDHB;QDPR;ARL4A;NDUFB8;PRXL2A;CHCHD3;ADISSP;REEP6;NDUFB5;NDUFA9;COX5B;COQ5;DGAT1;SLC25A1;ATP5F1D;NDUFB2;NDUFB7;UQCRQ;TUFM;COX7B;ACAA2;NDUFS3;GCSH;PXMP2;CHPT1;SDHB;DECR1;GRHPR;TKT;COX7A2;NDUFB6;UCK1;SOWAHC;PDAP1;CBR1;PNPLA2;UQCRC1;CFD;C6orf136;APOC1;LUM;CYB5B;PPP2R5A;COL15A1,C2:CGP,0.920526312079627,BURTON_ADIPOGENESIS_6
Insulin / Glucose,GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_DN,0.01446428312977747,0.12804919083722102,0.3807304007227924,0.3511601799669456,1.3914816153062854,166,RPL14;RCAN2;RTRAF;RPL19;RPS15A;RPL12;RPL7A;IER3IP1;SLC12A5;EIF2S2;IGBP1;CCDC71;MAPKAPK5-AS1;RPL15;TIMM9;CP;RHOBTB1;COX4I1;SERF2;AKR1C4;SCNM1;COMMD3;PNPLA4;RNF113A;GPR143;MYL9;TMEM254;RBMX2;GSTO1;METTL9;C2orf68;ATP5F1C;APOO;CCNI;TM6SF2;DPM3;ANXA2;COA4;RABEPK;OXA1L;DCTN2;TMEM223;ING4;STEEP1;TIMM8B;HINT1;PNPLA2;H4C3;SLC25A14;LUM;MTHFD2L;MDH1;PAFAH1B2;LRRC75B;SUOX;PBLD;FAM111A;TTC1;TRIM2;LAMTOR5,C7:IMMUNESIGDB,0.8926231615613476,GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_DN
Insulin / Glucose,GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP,0.01064657081089254,0.1049717284530395,0.3807304007227924,0.349846984849948,1.3971642470881482,181,BTG1;HMGB2;HERPUD1;TSC22D3;CXCR4;THOC6;DAZAP2;IER3;DNAJC17;BANF1;GPI;PRCC;RABAC1;ACTG1;ECSIT;ARPC4;PFN1;ATP5F1D;UBE2S;BSG;WDR18;CCDC22;CDK9;REX1BD;GLUL;RTN3;HBEGF;CDC37;PRPF6;ARL6IP1;MARCKSL1;NCAPH2;SLC25A20;NDUFV1;MRPL12;SART1;NT5DC2;SRSF9;RBM3;MAFB;TMEM160;UQCRC1;YBX3;PSMC3;ZFP36L1;RBM42;TMEM259;XAB2;AHCY;COPS7B;SNRNP40;BRMS1;HNRNPK;HNRNPA1;MAP3K8;GLOD4;OSTF1;GPAA1;ARF6;AAMP;ALDOA;PPIB;TBL3;PSPN;WDR46;GOLPH3,C7:IMMUNESIGDB,0.9789276516929525,GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP
Insulin / Glucose,GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,0.02003676174138444,0.15851399502263613,0.35248785758361917,0.5485593485316596,1.517254760684968,23,GAPDH;TPI1;ENO2;ENO1;GALK1;GCK;PFKP;PFKM;ALDOA;PGAM1;PKM,C5:GO:BP,0.7999323883813154,GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE
Insulin / Glucose,REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274,0.01657339410736621,0.13990187248393232,0.35248785758361917,0.4576804723940519,1.5383363347352774,54,SEM1;RPS27A;UBA52;PSMA1;PSMC5;PSMB7;PSMB2;PSMB6;UBB;PSMB4;PSMB5;RNF5;PSMB1;PSMA7;PSMD6;PSMB3;PSMA5;PSMC3;PSMD8;PSMD3;PSMD13;ADRM1;PRKAB1;PSMC4;DERL1;DERL2;PSMA3;PSMA4;RNF185;PSMD14;ERLIN1;PSMC6,C2:CP:REACTOME,0.8541764727562272,REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_O...
Insulin / Glucose,HP_MATERNAL_DIABETES,0.02660010386293087,0.1892917838859953,0.35248785758361917,0.5164404644745259,1.540546718625294,31,SPINK1;SOX2;ARNT2;DISP1;GJA1;GLI2;FUZ;NAA10;CLCNKB;SUFU;NKX2-5,C5:HPO,0.7228682359591406,HP_MATERNAL_DIABETES
Insulin / Glucose,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_DN,7.022824694316952e-5,0.00234386774172828,0.5384340963099162,0.4262486284338931,1.6965098016613231,169,RGS10;RPL19;RPL24;RPS16;RPS15A;CA8;RPL12;RPL5;RPL7A;IER3IP1;RPS13;SS18L2;EIF3K;UBA52;RPL10A;RPA3;LSM1;RPL27;RPS29;CSRNP2;EIF2S2;RPL15;MRPL18;SOD3;NDUFA3;POLR2J;MRPS33;COX4I1;MGST3;SERF2;DYNLL1;COMMD3;COL6A1;SNRPD2;PNPLA4;RNF113A;XCL1;SELENOW;H2AC25;SAP18;GSTO1;SNRPC;RABIF;RALYL;C2orf68;HPCA;DPF1;ATP5F1C;SDHAF1;TM6SF2;DYNLRB1;COA4;HAX1;RABEPK;OXA1L;LMO4;EEF1B2;ING4;UQCR11;TIMM8B;HINT1;CBR1,C7:IMMUNESIGDB,2.630066898054173,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_DN
Insulin / Glucose,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.00156189052780048,0.02707953057939805,0.45505986738722953,0.5325154386535605,1.7240256660377986,45,ALDOC;ALDH2;GAPDH;LDHB;LDHA;TPI1;ENO2;GPI;BPGM;ACSS1;ALDH3A1;ENO1;PCK2;GCK;ACSS2;PDHA1;ADH5;GALM;PGM1;PFKP;AKR1A1;PFKM;ALDOA;PGAM1;PKM,C2:CP:KEGG_LEGACY,1.5673588683673996,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
Insulin / Glucose,BURTON_ADIPOGENESIS_PEAK_AT_8HR,0.00190176064354596,0.03132449671972694,0.45505986738722953,0.5711891439021423,1.7579607235563552,35,SDC1;PPA1;RRAS2;TSC22D3;ARL4D;BZW1;SCD;UCP2;GSTO1;PRDX6;PPP1R2;ITGA5;CD44;TEAD4;FOSL1;CEBPB,C2:CGP,1.5041158979427922,BURTON_ADIPOGENESIS_PEAK_AT_8HR
Insulin / Glucose,REACTOME_GLYCOGEN_STORAGE_DISEASES,0.00331678164383209,0.0470162711584986,0.4317076958033464,0.7156048756473152,1.7621596319378805,14,GYG2;RPS27A;UBA52;NHLRC1;UBB;GYG1,C2:CP:REACTOME,1.3277518175654783,REACTOME_GLYCOGEN_STORAGE_DISEASES
Insulin / Glucose,KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,0.00160795581771458,0.02764482957693462,0.45505986738722953,0.6997263687132973,1.8125921351858711,17,ALDOC;GAPDH;LDHB;LDHA;ENO2;GPI;BPGM;ENO1;PFKP;PFKM;ALDOA;PGAM1;PKM,C2:CP:KEGG_MEDICUS,1.5583860830276512,KEGG_MEDICUS_REFERENCE_GLYCOLYSIS
Insulin / Glucose,BURTON_ADIPOGENESIS_7,4.36976470673782e-4,0.01043584236761178,0.49849310876659025,0.564557385407403,1.827761885842271,45,TMEM45A;VAMP5;S100A6;TGFBI;IFITM3;PLP2;TIMP1;PRRX2;S1PR3;THY1;TPM4,C2:CGP,1.9814724894983597,BURTON_ADIPOGENESIS_7
